SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
87957;74;R074-V. EMBRA 3;1992215;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Data de recebimento;01/09/2026;05/09/2026;2026-09-05-07.47.19.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019922151161131335
87957;74;R074-V. EMBRA 3;1992215;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Data de entrada;01/09/2026;05/09/2026;2026-09-05-07.47.19.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019922151161131335
87957;74;R074-V. EMBRA 3;1992215;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Indica se importa ou exporta;;N;2026-09-05-07.47.19.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019922151161131335
87957;74;R074-V. EMBRA 3;1992215;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Indica se suspende PIS/COFINS;;N;2026-09-05-07.47.19.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019922151161131335
87957;74;R074-V. EMBRA 3;1992215;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Indica campo onde soma despesa não tributada;;I;2026-09-05-07.47.19.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019922151161131335
87957;74;R074-V. EMBRA 3;1992215;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Número empresa devolução;;74;2026-09-05-07.47.19.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019922151161131335
87957;74;R074-V. EMBRA 3;1992215;1;5209;5209 - EBD LTDA - SLZ;E;IV;;14;Vencimento;;19/09/2026;2026-09-05-07.56.37.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019922151161131335
86362;37;R037-S.RAIMUNDO;1986533;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Indica se importa ou exporta;;N;2026-09-05-08.03.49.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019865331342121632
86362;37;R037-S.RAIMUNDO;1986533;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Indica se suspende PIS/COFINS;;N;2026-09-05-08.03.49.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019865331342121632
86362;37;R037-S.RAIMUNDO;1986533;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Indica campo onde soma despesa não tributada;;I;2026-09-05-08.03.49.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019865331342121632
86362;37;R037-S.RAIMUNDO;1986533;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Número empresa devolução;;37;2026-09-05-08.03.49.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019865331342121632
86362;37;R037-S.RAIMUNDO;1986533;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Data de recebimento;29/08/2026;05/09/2026;2026-09-05-08.04.15.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019865331342121632
86362;37;R037-S.RAIMUNDO;1986533;1;5209;5209 - EBD LTDA - SLZ;E;AN;;;Data de entrada;29/08/2026;05/09/2026;2026-09-05-08.04.15.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019865331342121632
86362;37;R037-S.RAIMUNDO;1986533;1;5209;5209 - EBD LTDA - SLZ;E;IV;;20;Vencimento;;25/09/2026;2026-09-05-08.04.29.000000;2000609;205009-DESKTOP-;99;26.01.18;21260805402904001309550010019865331342121632
