SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IN;;;;;;2026-09-10-08.01.08.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;5334 - REF FANTA LARANJA 350ML;;Produto;;5334;2026-09-10-08.01.08.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;11882 - REF COCA COLA ZR 350ML;;Produto;;11882;2026-09-10-08.01.08.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;12117 - REF G JESUS 350ML;;Produto;;12117;2026-09-10-08.01.08.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;5291 - REF COCA COLA PET 1L;;Produto;;5291;2026-09-10-08.01.08.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;10288 - REF COCA COLA TRAD 1 5L;;Produto;;10288;2026-09-10-08.01.08.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;18162 - REFRI GUARANA KUAT PET;;Produto;;18162;2026-09-10-08.01.09.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;5759 - REFRI GUARANA KUAT PET;;Produto;;5759;2026-09-10-08.01.09.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;17470 - REFRI GUARANA KUAT P;;Produto;;17470;2026-09-10-08.01.09.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
93640;21;R021-B.FATIM 3;5439708;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IP;227 - REF COCA COLA TRAD 350ML;;Produto;;227;2026-09-10-08.01.09.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054397081122520079
