SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.88;2.91;2026-09-03-08.08.40.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.91;2.88;2026-09-03-08.08.41.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.88;2.91;2026-09-03-08.10.22.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.91;2.88;2026-09-03-08.10.23.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.88;2.91;2026-09-03-08.10.41.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.91;2.88;2026-09-03-08.10.41.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.88;2.91;2026-09-03-08.10.45.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.91;2.88;2026-09-03-08.10.46.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.88;2.91;2026-09-03-08.10.48.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AP;2202 - REFRI FANTA LAR LT 350ML;;Valor ICMS ST;2.91;2.88;2026-09-03-08.10.48.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AN;;;Indica se considera local carga anterior (quAndo a nota possuir itens de selção inversa, e a mesma for desintegrada);;N;2026-09-03-08.10.50.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AN;;;Data e hora lançamento;02/09/2026 08:59:56;03/09/2026 08:10:48;2026-09-03-08.10.50.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AN;;;Usuário lançamento;2003671;2000609;2026-09-03-08.10.50.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;LN;;;Nota foi liberada;C;L;2026-09-03-08.10.50.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AN;;;Número da carga de conferência;;61085;2026-09-03-08.11.12.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88501;74;R074-V. EMBRA 3;5428603;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;CG;;;Carga gerada para conferência;;61085;2026-09-03-08.11.12.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286031095992807
88500;74;R074-V. EMBRA 3;5428602;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;IV;;14;Vencimento;;15/09/2026;2026-09-03-08.11.35.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286021681254314
88500;74;R074-V. EMBRA 3;5428602;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AN;;;Dias prazo;;14;2026-09-03-08.11.40.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286021681254314
88500;74;R074-V. EMBRA 3;5428602;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AN;;;Dias prazo vencimento;;14;2026-09-03-08.11.40.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286021681254314
88500;74;R074-V. EMBRA 3;5428602;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AN;;;Indica se considera local carga anterior (quAndo a nota possuir itens de selção inversa, e a mesma for desintegrada);;N;2026-09-03-08.11.41.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286021681254314
88500;74;R074-V. EMBRA 3;5428602;7;6911;6911 - REFRESCOS GUARARAPES LTDA;E;AN;;;Data e hora lançamento;02/09/2026 08:59:55;03/09/2026 08:11:41;2026-09-03-08.11.41.000000;2000609;205009-DESKTOP-;99;26.01.18;21260908715757002540550070054286021681254314
