SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
85310;29;R029-EMP.PDA;39728;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397281460223991
85310;29;R029-EMP.PDA;39728;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397281460223991
85312;63;R063-MERC STI;39730;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397301738684594
85312;63;R063-MERC STI;39730;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397301738684594
84598;65;R065-EMP.ITZ;39325;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393251448376283
84598;65;R065-EMP.ITZ;39325;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393251448376283
84599;65;R065-EMP.ITZ;39326;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393261924670161
84599;65;R065-EMP.ITZ;39326;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393261924670161
84600;65;R065-EMP.ITZ;39327;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393271858138220
84600;65;R065-EMP.ITZ;39327;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393271858138220
84602;65;R065-EMP.ITZ;39328;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393281523438572
84602;65;R065-EMP.ITZ;39328;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393281523438572
84603;65;R065-EMP.ITZ;39329;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393291391174783
84603;65;R065-EMP.ITZ;39329;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393291391174783
84604;65;R065-EMP.ITZ;39330;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393301783091325
84604;65;R065-EMP.ITZ;39330;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393301783091325
84686;65;R065-EMP.ITZ;39371;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393711965954798
84686;65;R065-EMP.ITZ;39371;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393711965954798
84729;65;R065-EMP.ITZ;39387;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393871438400850
84729;65;R065-EMP.ITZ;39387;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.47.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393871438400850
84734;65;R065-EMP.ITZ;39388;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.48.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393881480638697
84734;65;R065-EMP.ITZ;39388;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.48.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393881480638697
84737;65;R065-EMP.ITZ;39391;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.48.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393911515317463
84737;65;R065-EMP.ITZ;39391;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.48.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393911515317463
85315;72;R072-MERC MAIOB;39733;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.48.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397331931898772
85315;72;R072-MERC MAIOB;39733;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.48.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397331931898772
85314;64;R064-EMP.THE;39732;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397321339709075
85314;64;R064-EMP.THE;39732;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397321339709075
83643;65;R065-EMP.ITZ;38764;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000387641288295707
83643;65;R065-EMP.ITZ;38764;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000387641288295707
84829;65;R065-EMP.ITZ;39431;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000394311195535217
84829;65;R065-EMP.ITZ;39431;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000394311195535217
84838;65;R065-EMP.ITZ;39433;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000394331112574370
84838;65;R065-EMP.ITZ;39433;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000394331112574370
84919;65;R065-EMP.ITZ;39467;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000394671595937021
84919;65;R065-EMP.ITZ;39467;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000394671595937021
85114;65;R065-EMP.ITZ;39553;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000395531408607760
85114;65;R065-EMP.ITZ;39553;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000395531408607760
85198;65;R065-EMP.ITZ;39601;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000396011152050965
85198;65;R065-EMP.ITZ;39601;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000396011152050965
85200;65;R065-EMP.ITZ;39602;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000396021337740400
85200;65;R065-EMP.ITZ;39602;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000396021337740400
85313;65;R065-EMP.ITZ;39731;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397311424731953
85313;65;R065-EMP.ITZ;39731;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-28-00.05.49.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000397311424731953
85316;50;R050-ATELIE CLH;39734;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IN;;;;;;2026-08-28-00.45.19.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000397341354385212
85316;50;R050-ATELIE CLH;39734;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;17104 - QUEIJO PARMESAO HEBROM;;Produto;;17104;2026-08-28-00.45.20.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000397341354385212
85316;50;R050-ATELIE CLH;39734;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;17275 - QUEIJO PURO LEITE MEIA;;Produto;;17275;2026-08-28-00.45.21.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000397341354385212
