NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
44863;3;R002-J.DE DEUS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;1905,15;RECEBIMENTO;R;;93835;;;21260903835761000151550030000448631216244941
45179;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;57;537;RECEBIMENTO;R;;94478;;;21260903835761000151550030000451791310389156
45180;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;59;1005,7;RECEBIMENTO;R;;94479;;;21260903835761000151550030000451801402495360
45181;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;59;397,92;RECEBIMENTO;R;;94480;;;21260903835761000151550030000451811318504971
29605;1;R028-EMP.TURU;5422-FROSTY PRODUTOS ALIMENTICIOS L;2026-09-08-00.00.00.000000;2026-09-09-00.00.00.000000;16;760,5;RECEBIMENTO;R;;93059;;;21260935229640001809550010000296051922335859
44910;3;R034-B.JESUS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;1079,55;RECEBIMENTO;R;;93980;;;21260903835761000151550030000449101850180309
45185;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;932,88;RECEBIMENTO;R;;94484;;;21260903835761000151550030000451851287052259
290608;8;C001-CD BR;7672-JOSAPAR JOAQUIM OLIVEIRA SA PARTICIPACOE;2026-09-04-00.00.00.000000;2026-09-10-00.00.00.000000;1;84812,88;RECEBIMENTO;R;;94382;;;26260987456562001790550080002906081082999134
45182;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;59;3291,47;RECEBIMENTO;R;;94481;;;21260903835761000151550030000451821851114318
45183;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;60;2131,06;RECEBIMENTO;R;;94482;;;21260903835761000151550030000451831522540586
45184;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;60;19224,81;RECEBIMENTO;R;;94483;;;21260903835761000151550030000451841736961717
45186;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;2118,18;RECEBIMENTO;R;;94485;;;21260903835761000151550030000451861973612494
45187;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;166,8;RECEBIMENTO;R;;94486;;;21260903835761000151550030000451871308975452
45188;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;576;RECEBIMENTO;R;;94487;;;21260903835761000151550030000451881218087911
179920;4;C001-CD BR;10-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-09-00.00.00.000000;2026-09-10-00.00.00.000000;70;367808,59;CONFERENCIA;C;;93911;GERADA;;21260907555950001012550040001799201047790883
42196;3;R034-B.JESUS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-03-00.00.00.000000;2026-09-03-00.00.00.000000;67;91,06;RECEBIMENTO;R;;89679;;;21260903835761000151550030000421961337275370
