SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
84551;27;R027-EMP.PNS;39281;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000392811219690536
84551;27;R027-EMP.PNS;39281;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000392811219690536
84554;27;R027-EMP.PNS;39284;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000392841566716535
84554;27;R027-EMP.PNS;39284;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000392841566716535
84573;27;R027-EMP.PNS;39303;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393031484763170
84573;27;R027-EMP.PNS;39303;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393031484763170
84574;27;R027-EMP.PNS;39304;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393041966137278
84574;27;R027-EMP.PNS;39304;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000393041966137278
84555;28;R028-EMP.TURU;39285;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000392851802735388
84555;28;R028-EMP.TURU;39285;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-27-00.12.57.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000392851802735388
