SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
83240;27;R027-EMP.PNS;38555;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-26-00.20.02.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000385551127456822
83240;27;R027-EMP.PNS;38555;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-26-00.20.02.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000385551127456822
83682;28;R028-EMP.TURU;38811;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-26-00.20.02.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000388111305568380
83682;28;R028-EMP.TURU;38811;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-26-00.20.02.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000388111305568380
83326;27;R027-EMP.PNS;38594;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000385941869487808
83326;27;R027-EMP.PNS;38594;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000385941869487808
83327;27;R027-EMP.PNS;38595;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000385951291888557
83327;27;R027-EMP.PNS;38595;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000385951291888557
83592;27;R027-EMP.PNS;38720;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000387201250140442
83592;27;R027-EMP.PNS;38720;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000387201250140442
83628;27;R027-EMP.PNS;38755;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000387551879561418
83628;27;R027-EMP.PNS;38755;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000387551879561418
83677;27;R027-EMP.PNS;38806;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-26-00.20.04.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000388061694593764
