NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
2150;3;R001-EMP.CALHAU;27-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;411,83;RECEBIDA;I;;88514;LIBERADA;;21260907555950002760550030000021501145899387
20430;1;R001-EMP.CALHAU;13604-BASTO MESQUITA DISTRIBUICAO E LOGISTICA LTDA;2026-08-28-00.00.00.000000;2026-09-02-00.00.00.000000;16;149,8;RECEBIDA;I;;87488;LIBERADA;;21260812464051000404550010000204301190115418
1989519;1;R001-EMP.CALHAU;5209-EMPRESA BRASILEIRA DISTRIBUICA;2026-08-31-00.00.00.000000;2026-09-02-00.00.00.000000;16;2776,06;RECEBIDA;I;;88133;LIBERADA;;21260805402904001309550010019895191133129414
773;55;R001-EMP.CALHAU;20166-ZILENE DA S DIAS DAMASCENO;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;18;331;RECEBIDA;I;;88130;LIBERADA;;21260946545815000157550550000007731300004365
611792;3;R001-EMP.CALHAU;6085-LDA - COM. DE GENEROS ALIMENTICIOS LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;20;1079,8;RECEBIDA;I;;88128;LIBERADA;;21260935112135000123550030006117921179331177
621755;1;R001-EMP.CALHAU;4156-REVENMOTA IND DE RAC. COM DE G;2026-08-31-00.00.00.000000;2026-09-02-00.00.00.000000;20;397,32;RECEBIDA;I;;88136;LIBERADA;;21260810369130000150550010006217551126198175
5428523;7;R001-EMP.CALHAU;6911-REFRESCOS GUARARAPES LTDA.;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;16;438,01;RECEBIDA;I;;88118;LIBERADA;;21260808715757002540550070054285231574557918
5428521;7;R001-EMP.CALHAU;6911-REFRESCOS GUARARAPES LTDA.;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;16;13981,19;RECEBIDA;I;;88117;LIBERADA;;21260808715757002540550070054285211131137702
329311;1;R001-EMP.CALHAU;4643-RICCO ALIMENTOS;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;18;5192,6;RECEBIDA;I;;88120;LIBERADA;;21260929356859000110550010003293111462072241
329312;1;R001-EMP.CALHAU;4643-RICCO ALIMENTOS;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;18;100;RECEBIDA;I;;88125;LIBERADA;;21260929356859000110550010003293121881717648
109795;3;R001-EMP.CALHAU;8345-TERRA NORDESTE ATACADO DE GENEROS ALIMEN;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;18;4054,09;RECEBIDA;I;;88126;LIBERADA;;21260929658992000120550030001097951031643234
3466;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;3298,68;RECEBIDA;I;;88624;LIBERADA;;21260907555950005000550030000034661890351100
3459;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;231,24;RECEBIDA;I;;88602;LIBERADA;;21260907555950005000550030000034591332122027
3458;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;2518,49;RECEBIDA;I;;88601;LIBERADA;;21260907555950005000550030000034581055977360
3444;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;5611,12;RECEBIDA;I;;88439;LIBERADA;;21260907555950005000550030000034441406782138
3428;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;50;144,43;RECEBIDA;I;;88082;LIBERADA;;21260907555950005000550030000034281951954320
3427;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;50;1460,27;RECEBIDA;I;;88081;LIBERADA;;21260907555950005000550030000034271472278352
3418;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;50;1837,58;RECEBIDA;I;;88039;LIBERADA;;21260907555950005000550030000034181590296734
41198;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;51;1057,14;RECEBIDA;I;;87727;LIBERADA;;21260903835761000151550030000411981690277158
41206;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;51;654,45;RECEBIDA;I;;87735;LIBERADA;;21260903835761000151550030000412061718177776
41076;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;51;244,68;RECEBIDA;I;;87589;LIBERADA;;21260803835761000151550030000410761192209359
41225;3;R002-J.DE DEUS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;67;4085,72;RECEBIMENTO;R;;87792;;;21260903835761000151550030000412251767360479
41264;3;R002-J.DE DEUS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;51;11844,59;RECEBIMENTO;R;;87925;;;21260903835761000151550030000412641126182875
41265;3;R002-J.DE DEUS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;51;3558,57;RECEBIMENTO;R;;87926;;;21260903835761000151550030000412651528997536
179747;4;R002-J.DE DEUS;10-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;20202,06;XML;X;3628166;;;;21260907555950001012550040001797471027262590
