SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;IN;;;;;;2026-09-02-08.09.00.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;IP;8320 - CERVEJA BUDWEISER LT 35;;Produto;;8320;2026-09-02-08.09.00.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;IP;10482 - CERVEJA STELLA ARTOIS P;;Produto;;10482;2026-09-02-08.09.01.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;IV;;5;Vencimento;;09/09/2026;2026-09-02-08.09.01.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AN;;;Indica se importa ou exporta;;N;2026-09-02-08.09.44.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AN;;;Indica se suspende PIS/COFINS;;N;2026-09-02-08.09.44.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AN;;;Indica campo onde soma despesa não tributada;;I;2026-09-02-08.09.44.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AN;;;Número empresa devolução;;73;2026-09-02-08.09.44.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AP;8320 - CERVEJA BUDWEISER LT 35;;Quantidade embalagem;12;1;2026-09-02-08.09.52.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AP;8320 - CERVEJA BUDWEISER LT 35;;Quantidade;36;3;2026-09-02-08.09.52.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AN;;;Indica se a nota teve inconsistência fiscal;;S;2026-09-02-08.09.52.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AP;8320 - CERVEJA BUDWEISER LT 35;;Quantidade;3;36;2026-09-02-08.10.02.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AP;10482 - CERVEJA STELLA ARTOIS P;;Quantidade embalagem;24;1;2026-09-02-08.10.02.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AP;8320 - CERVEJA BUDWEISER LT 35;;Nota em edição;I;R;2026-09-02-08.10.10.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AP;8320 - CERVEJA BUDWEISER LT 35;;Recalculou a tributação;N;S;2026-09-02-08.10.10.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AP;10482 - CERVEJA STELLA ARTOIS P;;Nota em edição;I;R;2026-09-02-08.10.10.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
88450;73;R073-SANT CLARA;336615;31;2187;2187 - CDD EQUATORIAL;E;AP;10482 - CERVEJA STELLA ARTOIS P;;Recalculou a tributação;N;S;2026-09-02-08.10.10.000000;2000609;205009-DESKTOP-;99;26.01.18;21260907526557005683550310003366151471847367
