SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
82950;63;R063-MERC STI;38390;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IN;;;;;;2026-08-25-00.19.13.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383901919241211
82950;63;R063-MERC STI;38390;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;810 - LOMBO CERATTI CANADENSE;;Produto;;810;2026-08-25-00.19.15.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383901919241211
82950;63;R063-MERC STI;38390;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;8053 - BLANQUET SADIA PERU LIG;;Produto;;8053;2026-08-25-00.19.16.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383901919241211
82950;63;R063-MERC STI;38390;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;11961 - PRESUNTO SADIA COZ S CAP;;Produto;;11961;2026-08-25-00.19.16.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383901919241211
82950;63;R063-MERC STI;38390;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;18877 - PRESUNTO SEARA COZ S CA;;Produto;;18877;2026-08-25-00.19.16.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383901919241211
82950;63;R063-MERC STI;38390;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;18902 - PEITO PERU SEARA DEFUMA;;Produto;;18902;2026-08-25-00.19.16.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383901919241211
82951;63;R063-MERC STI;38391;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IN;;;;;;2026-08-25-00.19.17.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383911523835627
82951;63;R063-MERC STI;38391;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;3325 - SALSICHA SEARA FRANGO 5;;Produto;;3325;2026-08-25-00.19.17.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383911523835627
82951;63;R063-MERC STI;38391;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;5638 - LING CALAB PERDIGAO ENR;;Produto;;5638;2026-08-25-00.19.17.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383911523835627
82951;63;R063-MERC STI;38391;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;6013 - SALSICHA PERDIGAO FRANG;;Produto;;6013;2026-08-25-00.19.17.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383911523835627
82951;63;R063-MERC STI;38391;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;8209 - SALSICHA SEARA HOT DOG;;Produto;;8209;2026-08-25-00.19.17.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383911523835627
82951;63;R063-MERC STI;38391;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;8852 - SALSICHA SADIA HOT DOG;;Produto;;8852;2026-08-25-00.19.17.000000;oracle;Identificador da instância: 1;9;26.01.18;21260803835761000151550030000383911523835627
