SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
85950;1;R001-EMP.CALHAU;40164;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IN;;;;;;2026-08-29-00.33.18.000000;1006828;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000401641673578556
85950;1;R001-EMP.CALHAU;40164;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;23583 - IOG BATAVO NAT DESN 160G;;Produto;;23583;2026-08-29-00.33.19.000000;1006828;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000401641673578556
85950;1;R001-EMP.CALHAU;40164;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Data vencimento;29/08/2026;;2026-08-29-00.33.19.000000;1006828;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000401641673578556
85951;65;R065-EMP.ITZ;40165;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IN;;;;;;2026-08-29-00.35.15.000000;1006828;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000401651463470519
85951;65;R065-EMP.ITZ;40165;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;IP;18102 - CREME RICOTA LEVE POLEN;;Produto;;18102;2026-08-29-00.35.15.000000;1006828;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000401651463470519
85951;65;R065-EMP.ITZ;40165;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Data vencimento;29/08/2026;;2026-08-29-00.35.15.000000;1006828;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000401651463470519
85946;4;R004-EMP.COHAMA;40160;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-00.38.05.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000401601973829385
85946;4;R004-EMP.COHAMA;40160;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-00.38.05.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000401601973829385
85949;4;R004-EMP.COHAMA;40163;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-00.38.05.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000401631696352271
85949;4;R004-EMP.COHAMA;40163;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-00.38.05.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000401631696352271
85951;65;R065-EMP.ITZ;40165;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-02.18.36.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000401651463470519
85951;65;R065-EMP.ITZ;40165;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-02.18.36.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000401651463470519
85579;1;R001-EMP.CALHAU;39881;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-02.18.38.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000398811759877540
85579;1;R001-EMP.CALHAU;39881;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-02.18.38.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000398811759877540
85580;1;R001-EMP.CALHAU;39882;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-02.18.38.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000398821393958018
85580;1;R001-EMP.CALHAU;39882;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-02.18.38.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000398821393958018
85581;1;R001-EMP.CALHAU;39883;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-02.18.38.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000398831420131627
85581;1;R001-EMP.CALHAU;39883;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-02.18.38.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000398831420131627
85497;1;R001-EMP.CALHAU;3315;3;50;50 - ATELIE CALHAU;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-02.18.38.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260807555950005000550030000033151558174539
85497;1;R001-EMP.CALHAU;3315;3;50;50 - ATELIE CALHAU;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-02.18.38.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260807555950005000550030000033151558174539
85609;1;R001-EMP.CALHAU;39896;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-02.18.39.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000398961234984028
85609;1;R001-EMP.CALHAU;39896;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-02.18.39.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000398961234984028
85738;1;R001-EMP.CALHAU;39969;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-02.18.39.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000399691209839417
85738;1;R001-EMP.CALHAU;39969;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-29-02.18.39.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000399691209839417
85806;1;R001-EMP.CALHAU;40013;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-29-02.18.39.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000400131396361006
